Point	x_mm	y_mm	Ba_at	Zr_at	Y_at	Co_at	Fe_at	Sigma_elec	d_um	Temp_C
1	0	0	0.46026275	0.45421875	0.057394493	0.014601499	0.013522498	4.0533188e-11	0.17908999	351
2	0	1.5	0.45901075	0.4565942	0.05649326	0.014616234	0.013285547	3.096462e-11	0.18516199	351
3	0	3	0.45775875	0.45896965	0.055592023	0.014630971	0.013048596	2.6405791e-11	0.19123399	351
4	-4	0	0.45668906	0.45557415	0.059068494	0.014199198	0.014469099	1.942896e-11	0.19423001	351
5	-4	1.5	0.45564324	0.45746109	0.058529526	0.014159359	0.014206791	1.9203125e-11	0.20056	351
6	-4	3	0.45459741	0.45934802	0.057990558	0.014119519	0.013944482	3.1637262e-11	0.20689	351
7	-8	0	0.45730519	0.45330849	0.0625166	0.011883901	0.0149858	3.2914893e-11	0.20555	351
8	-8	1.5	0.45575982	0.45527604	0.0620993	0.012124141	0.014740711	2.5000528e-11	0.21241879	351
9	-8	3	0.45421442	0.45724359	0.061682001	0.012364381	0.014495624	2.5172536e-11	0.2192876	351
10	-12	0	0.45136911	0.44910839	0.0708929	0.0122041	0.0164255	3.1765868e-11	0.21636	351
11	-12	1.5	0.45062354	0.45078835	0.070095323	0.012342581	0.016150208	5.448661e-11	0.2232444	351
12	-12	3	0.44987801	0.45246828	0.069297738	0.01248106	0.015874917	2.5530916e-11	0.23012879	351
13	-16	0	0.4499082	0.44691131	0.074329197	0.0117892	0.0170621	2.8817641e-11	0.22416	351
14	-16	1.5	0.44917676	0.44856668	0.073645763	0.011755048	0.016855784	2.6730437e-11	0.2309808	351
15	-16	3	0.44844529	0.45022202	0.072962329	0.011720896	0.016649468	2.7901301e-11	0.2378016	351
16	-20	0	0.45116293	0.43984467	0.079307497	0.010546599	0.019138297	6.6050825e-11	0.22804999	351
17	-20	1.5	0.45025826	0.44189125	0.078392409	0.010605952	0.018852146	2.4417595e-11	0.2350208	351
18	-20	3	0.44935355	0.44393784	0.077477321	0.010665303	0.018565994	3.3696563e-11	0.24199159	351
19	-24	0	0.44890571	0.4359014	0.085816398	0.009145	0.020231498	2.9850931e-11	0.23108999	351
20	-24	1.5	0.4482227	0.43735921	0.085209951	0.0092351316	0.019972997	3.302902e-11	0.2375904	351
21	-24	3	0.44753972	0.43881702	0.084603511	0.0093252631	0.019714491	2.5953554e-11	0.2440908	351
22	-28	0	0.44818455	0.42959934	0.090985015	0.0097350003	0.021496102	1.7577748e-11	0.22897001	351
23	-28	1.5	0.44748917	0.43098214	0.090550311	0.009654385	0.021323998	6.6051664e-11	0.2350672	351
24	-28	3	0.44679382	0.43236491	0.090115607	0.0095737688	0.021151893	7.8401084e-11	0.2411644	351
25	-32	0	0.4478859	0.42528358	0.094829999	0.0081318999	0.0238686	1.3193272e-11	0.22334	351
26	-32	1.5	0.44703346	0.42646912	0.094520375	0.0082834354	0.023693629	2.7595589e-11	0.229022	351
27	-32	3	0.44618103	0.42765459	0.094210744	0.0084349718	0.023518655	4.797337e-10	0.234704	351
28	-36	0	0.44535035	0.41713014	0.10147851	0.0076852008	0.028355803	6.9448884e-11	0.21583	351
29	-36	1.5	0.44501033	0.41857395	0.10073984	0.0076537966	0.028022094	1.8052388e-11	0.2207848	351
30	-36	3	0.44467029	0.42001778	0.10000116	0.0076223928	0.027688386	1.8297273e-11	0.2257396	351
31	-40	0	0.43317121	0.40941319	0.11085301	0.0096810004	0.0368816	2.4845258e-11	0.20879	351
32	-40	1.5	0.43395579	0.41060764	0.10957974	0.0093973801	0.036459453	8.6325513e-12	0.2126192	351
33	-40	3	0.43474039	0.41180205	0.10830648	0.0091137597	0.036037304	9.2837335e-12	0.2164484	351
34	0	12.5	0.4498294	0.47401419	0.0498842	0.014724299	0.011547901	4.484374e-11	0.22969	351
35	0	14	0.44994852	0.47468492	0.049247243	0.014693748	0.011425597	4.2755702e-10	0.22930241	351
36	0	15.5	0.45006761	0.47535563	0.048610285	0.014663197	0.011303293	-0.00039851904	0.2289148	351
37	-4	12.5	0.44797391	0.47129861	0.054577097	0.013867199	0.0122832	-4.8318776e-09	0.24698	351
38	-4	14	0.44807807	0.47216335	0.053691208	0.013939692	0.01212768	7.2674173e-09	0.24654201	351
39	-4	15.5	0.44818226	0.47302806	0.052805323	0.014012184	0.011972159	7.54821e-11	0.246104	351
40	-8	12.5	0.44442689	0.46970469	0.059039101	0.013885899	0.0129434	9.1011615e-11	0.26278999	351
41	-8	14	0.44453138	0.47062108	0.058122423	0.013873552	0.012851575	1.5569833e-05	0.261902	351
42	-8	15.5	0.44463584	0.47153747	0.057205737	0.013861204	0.012759752	1.0534732e-10	0.26101401	351
43	-12	12.5	0.44515619	0.46310791	0.064246401	0.013358099	0.0141314	1.0227592e-10	0.27373001	351
44	-12	14	0.44517267	0.46400675	0.063400805	0.013279116	0.01414064	1.1082401e-10	0.27280959	351
45	-12	15.5	0.44518915	0.46490562	0.062555216	0.013200132	0.01414988	1.1154909e-10	0.27188921	351
46	-16	12.5	0.44381276	0.46070594	0.068633907	0.011504601	0.015342802	1.1008951e-10	0.28099999	351
47	-16	14	0.44401699	0.4612667	0.067857876	0.011616597	0.015241845	3.3380501e-10	0.2797544	351
48	-16	15.5	0.44422123	0.46182743	0.067081846	0.011728593	0.015140889	1.5021364e-08	0.27850881	351
49	-20	12.5	0.44362381	0.45689949	0.071681798	0.0110412	0.0167537	1.4325816e-10	0.28613999	351
50	-20	14	0.44381115	0.45747522	0.070967771	0.011151504	0.016594363	9.3832186e-10	0.28430399	351
51	-20	15.5	0.44399846	0.45805097	0.070253752	0.011261808	0.016435029	1.0673824e-10	0.28246799	351
52	-24	12.5	0.44321406	0.44804984	0.080762692	0.0098960986	0.018077299	1.1690029e-10	0.28525999	351
53	-24	14	0.44370961	0.44890311	0.079469465	0.0099837705	0.01793403	3.1375133e-10	0.2831552	351
54	-24	15.5	0.44420514	0.44975644	0.078176238	0.010071443	0.017790763	2.5581798e-10	0.28105041	351
55	-28	12.5	0.44238982	0.44112259	0.087362498	0.0090632001	0.020061901	1.0078962e-10	0.27978	351
56	-28	14	0.44276321	0.44198501	0.086286381	0.0091663161	0.019799063	8.8095205e-11	0.27727801	351
57	-28	15.5	0.44313663	0.44284743	0.085210271	0.0092694322	0.019536227	3.9051258e-08	0.27477601	351
58	-32	12.5	0.44078219	0.43516281	0.092249803	0.0093946997	0.022410499	3.5899561e-10	0.27068999	351
59	-32	14	0.44116795	0.43609375	0.091082245	0.0094359685	0.022220096	7.6779499e-11	0.26805601	351
60	-32	15.5	0.44155365	0.43702471	0.089914694	0.0094772363	0.022029694	8.2057763e-11	0.26542199	351
61	-36	12.5	0.44251677	0.42916191	0.095322907	0.0074234996	0.0255749	2.5873587e-10	0.25712001	351
62	-36	14	0.44275254	0.42956004	0.094539754	0.0077005201	0.025447149	9.2809579e-11	0.25459039	351
63	-36	15.5	0.44298825	0.42995819	0.093756616	0.0079775406	0.025319397	7.4636894e-11	0.2520608	351
64	-40	12.5	0.43970954	0.41936675	0.10024251	0.0073175007	0.0333637	6.7420791e-11	0.24070001	351
65	-40	14	0.44043007	0.41953814	0.099202193	0.0074818525	0.03334773	7.0629613e-11	0.23815119	351
66	-40	15.5	0.44115061	0.41970956	0.098161869	0.0076462044	0.033331759	7.246679e-11	0.23560239	351
67	0	25	0.45082194	0.47960344	0.044576205	0.014469701	0.010528701	1.5408576e-08	0.22645999	351
68	0	26.5	0.45140591	0.47925344	0.044373441	0.014631113	0.010336089	6.7460143e-10	0.2206544	351
69	0	28	0.45198989	0.47890341	0.044170674	0.014792524	0.010143477	7.8412465e-10	0.2148488	351
70	-4	25	0.44884205	0.47850475	0.047194697	0.014471298	0.010987198	8.4544283e-10	0.24333	351
71	-4	26.5	0.44956961	0.47821426	0.046888117	0.014600239	0.010727772	-1.6242955e-08	0.2366388	351
72	-4	28	0.45029718	0.47792378	0.046581544	0.014729178	0.010468343	9.7667791e-11	0.2299476	351
73	-8	25	0.44529751	0.4773412	0.051400099	0.013782999	0.0121782	7.3612242e-08	0.25538999	351
74	-8	26.5	0.44595703	0.47700688	0.051295388	0.014023192	0.01171752	-9.5961905e-09	0.2482572	351
75	-8	28	0.44661659	0.4766725	0.051190678	0.014263384	0.01125684	7.4865486e-10	0.24112441	351
76	-12	25	0.44529355	0.47059834	0.05719981	0.012699901	0.014208402	3.2729908e-10	0.26605999	351
77	-12	26.5	0.44638878	0.47053158	0.056246873	0.012952957	0.013879805	7.6122747e-10	0.25802839	351
78	-12	28	0.44748402	0.47046483	0.05529394	0.013206013	0.013551209	6.2047395e-10	0.2499968	351
79	-16	25	0.44551477	0.46537885	0.062166996	0.0124379	0.014501499	1.8053592e-09	0.27061999	351
80	-16	26.5	0.44647628	0.46538204	0.061258618	0.012668095	0.014214963	2.3934943e-09	0.262196	351
81	-16	28	0.44743782	0.46538523	0.060350243	0.012898291	0.013928426	1.9294291e-09	0.25377199	351
82	-20	25	0.44518489	0.46169719	0.0657316	0.0119604	0.0154259	3.8037982e-09	0.27083999	351
83	-20	26.5	0.44638443	0.46118423	0.065083429	0.012088656	0.015259257	-2.6605894e-08	0.26229	351
84	-20	28	0.44758397	0.46067125	0.064435266	0.012216913	0.015092612	6.724731e-09	0.25374001	351
85	-24	25	0.44734356	0.45516056	0.069985792	0.010626699	0.016883397	1.5694875e-09	0.26772001	351
86	-24	26.5	0.44826859	0.45519239	0.069043182	0.010888071	0.016607746	-5.3670224e-08	0.25890481	351
87	-24	28	0.44919366	0.45522425	0.068100572	0.011149444	0.016332095	3.9350851e-09	0.25008959	351
88	-28	25	0.44550157	0.44830945	0.07839489	0.0099224988	0.017871598	1.4096706e-09	0.25893	351
89	-28	26.5	0.44671208	0.44839188	0.077044427	0.010245863	0.01760575	6.3630307e-10	0.2504124	351
