Point	Row	Column	Y_at
1	1	1	0.068665802
2	1	2	0.070119403
3	1	3	0.070769191
4	1	4	0.071601801
5	1	5	0.071465202
6	1	6	0.068832703
7	1	7	0.070171699
8	1	8	0.067784809
9	1	9	0.064688906
10	1	10	0.0660192
11	1	11	0.063620999
12	2	1	0.072029293
13	2	2	0.0713204
14	2	3	0.0728091
15	2	4	0.073877797
16	2	5	0.073259793
17	2	6	0.071751103
18	2	7	0.070424698
19	2	8	0.065944992
20	2	9	0.069184199
21	2	10	0.068888202
22	2	11	0.062180694
23	3	1	0.065905809
24	3	2	0.068863198
25	3	3	0.070173301
26	3	4	0.07011459
27	3	5	0.067114696
28	3	6	0.066971801
29	3	7	0.067600995
30	3	8	0.065883704
31	3	9	0.059460498
32	3	10	0.065196201
33	3	11	0.059586599
34	4	1	0.021798501
35	4	2	0.0215635
36	4	3	0.0220237
37	4	4	0.026388099
38	4	5	0.026169
39	4	6	0.025764203
40	4	7	0.021651998
41	4	8	0.0257641
42	4	9	0.0218376
43	4	10	0.019629
44	4	11	0.026397901
