Point	Row	Column	_s_Position
1	1	1	0.19699226
2	1	2	0.19601613
3	1	3	0.1942077
4	1	4	0.19515423
5	1	5	0.19606543
6	1	6	0.1933475
7	1	7	0.19587266
8	1	8	0.19733335
9	1	9	0.19471057
10	1	10	0.19369312
11	1	11	0.18361659
12	2	1	0.19505228
13	2	2	0.19390465
14	2	3	0.19455369
15	2	4	0.194207
16	2	5	0.19558829
17	2	6	0.19603251
18	2	7	0.19639662
19	2	8	0.19506072
20	2	9	0.19665608
21	2	10	0.19359992
22	2	11	0.18699777
23	3	1	0.19646041
24	3	2	0.19382539
25	3	3	0.19574219
26	3	4	0.1930275
27	3	5	0.19546567
28	3	6	0.1942737
29	3	7	0.1941848
30	3	8	0.19405925
31	3	9	0.19292898
32	3	10	0.1925378
33	3	11	0.18201527
34	4	1	0.043328118
35	4	2	0.042996965
36	4	3	0.042819101
37	4	4	0.070560463
38	4	5	0.070521541
39	4	6	0.071092762
40	4	7	0.041677233
41	4	8	0.072200872
42	4	9	0.040360063
43	4	10	0.039857473
44	4	11	0.04302175
