Point	Row	Column	d_um
1	1	1	0.14366999
2	1	2	0.14933001
3	1	3	0.15245999
4	1	4	0.15332
5	1	5	0.14910001
6	1	6	0.14151999
7	1	7	0.13212
8	1	8	0.12117
9	1	9	0.10862
10	1	10	0.095909998
11	1	11	0.08568
12	2	1	0.1435
13	2	2	0.1495
14	2	3	0.15251
15	2	4	0.15265
16	2	5	0.14843
17	2	6	0.14091
18	2	7	0.13160001
19	2	8	0.12023
20	2	9	0.10804
21	2	10	0.096670002
22	2	11	0.085529998
23	3	1	0.10931
24	3	2	0.1129
25	3	3	0.11443
26	3	4	0.11285
27	3	5	0.10979
28	3	6	0.10557
29	3	7	0.10015
30	3	8	0.092330001
31	3	9	0.084179997
32	3	10	0.077770002
33	3	11	0.069930002
34	4	1	1.79967
35	4	2	1.79199
36	4	3	1.78809
37	4	4	1.65581
38	4	5	1.65505
39	4	6	1.66176
40	4	7	1.7884099
41	4	8	1.67492
42	4	9	1.79421
43	4	10	1.80296
44	4	11	1.6804399
