Point	Row	Column	110_s_Position
1	1	1	0.26756561
2	1	2	0.266166
3	1	3	0.26399878
4	1	4	0.2649214
5	1	5	0.2659604
6	1	6	0.26519421
7	1	7	0.26877421
8	1	8	0.27291402
9	1	9	0.27259624
10	1	10	0.2774516
11	1	11	0.271072
12	2	1	0.26191017
13	2	2	0.2603536
14	2	3	0.26178601
15	2	4	0.2602154
16	2	5	0.26138878
17	2	6	0.2638818
18	2	7	0.26581079
19	2	8	0.26743576
20	2	9	0.27471539
21	2	10	0.27281901
22	2	11	0.27323237
23	3	1	0.27001444
24	3	2	0.266491
25	3	3	0.2667692
26	3	4	0.26491818
27	3	5	0.26909178
28	3	6	0.2693454
29	3	7	0.27031857
30	3	8	0.27149442
31	3	9	0.27740979
32	3	10	0.2757926
33	3	11	0.2720612
34	4	1	0.0079747997
35	4	2	0.0079143997
36	4	3	0.0078918003
37	4	4	0.013193
38	4	5	0.0131908
39	4	6	0.013168202
40	4	7	0.007757999
41	4	8	0.0133528
42	4	9	0.0075030001
43	4	10	0.0076331999
44	4	11	0.0086324001
