Point	Row	Column	_s_Sigma
1	1	1	0.1373316
2	1	2	0.14023881
3	1	3	0.14153838
4	1	4	0.1432036
5	1	5	0.1429304
6	1	6	0.13766541
7	1	7	0.1403434
8	1	8	0.13556962
9	1	9	0.12937781
10	1	10	0.1320384
11	1	11	0.127242
12	2	1	0.14405859
13	2	2	0.1426408
14	2	3	0.1456182
15	2	4	0.14775559
16	2	5	0.14651959
17	2	6	0.14350221
18	2	7	0.1408494
19	2	8	0.13188998
20	2	9	0.1383684
21	2	10	0.1377764
22	2	11	0.12436139
23	3	1	0.13181162
24	3	2	0.1377264
25	3	3	0.1403466
26	3	4	0.14022918
27	3	5	0.13422939
28	3	6	0.1339436
29	3	7	0.13520199
30	3	8	0.13176741
31	3	9	0.118921
32	3	10	0.1303924
33	3	11	0.1191732
34	4	1	0.043597002
35	4	2	0.043127
36	4	3	0.0440474
37	4	4	0.052776199
38	4	5	0.052338
39	4	6	0.051528405
40	4	7	0.043303996
41	4	8	0.051528201
42	4	9	0.043675199
43	4	10	0.039258
44	4	11	0.052795801
