Point	Row	Column	_s_FWHM
1	1	1	0.21982341
2	1	2	0.2222688
3	1	3	0.21998277
4	1	4	0.22153459
5	1	5	0.2234648
6	1	6	0.2087408
7	1	7	0.20087861
8	1	8	0.20284481
9	1	9	0.20260961
10	1	10	0.1813008
11	1	11	0.1910582
12	2	1	0.22024378
13	2	2	0.2193474
14	2	3	0.22050139
15	2	4	0.2260364
16	2	5	0.23029357
17	2	6	0.21399841
18	2	7	0.21797679
19	2	8	0.21649657
20	2	9	0.20198581
21	2	10	0.1991318
22	2	11	0.18680038
23	3	1	0.21208923
24	3	2	0.21021961
25	3	3	0.20980141
26	3	4	0.20250139
27	3	5	0.20861958
28	3	6	0.21721239
29	3	7	0.20033498
30	3	8	0.20162982
31	3	9	0.1844642
32	3	10	0.19472399
33	3	11	0.17981181
34	4	1	0.032999199
35	4	2	0.033110399
36	4	3	0.034133598
37	4	4	0.043303199
38	4	5	0.0431876
39	4	6	0.043219805
40	4	7	0.033408597
41	4	8	0.042489398
42	4	9	0.033291601
43	4	10	0.0239066
44	4	11	0.033817001
