Point	Row	Column	110_s_Position
1	1	1	0.26191542
2	1	2	0.26168361
3	1	3	0.26295659
4	1	4	0.26458582
5	1	5	0.26656902
6	1	6	0.26774684
7	1	7	0.27562261
8	1	8	0.2759386
9	1	9	0.2770462
10	1	10	0.2838226
11	1	11	0.2775386
12	2	1	0.26501361
13	2	2	0.2594566
14	2	3	0.26332024
15	2	4	0.26772499
16	2	5	0.26543036
17	2	6	0.264088
18	2	7	0.27086917
19	2	8	0.27129999
20	2	9	0.27659944
21	2	10	0.28687763
22	2	11	0.27602479
23	3	1	0.27267703
24	3	2	0.2773622
25	3	3	0.27374381
26	3	4	0.27441579
27	3	5	0.27403799
28	3	6	0.27434659
29	3	7	0.27905279
30	3	8	0.27641663
31	3	9	0.2841078
32	3	10	0.28299716
33	3	11	0.28844643
34	4	1	0.27063
35	4	2	0.27549782
36	4	3	0.272782
37	4	4	0.27925581
38	4	5	0.27621838
39	4	6	0.27826259
40	4	7	0.28286141
41	4	8	0.29273558
42	4	9	0.28915316
43	4	10	0.29521501
44	4	11	0.290263
