Point	Row	Column	_s_FWHM
1	1	1	0.21688803
2	1	2	0.2176602
3	1	3	0.2128956
4	1	4	0.21893902
5	1	5	0.21952303
6	1	6	0.20294642
7	1	7	0.18865199
8	1	8	0.1939664
9	1	9	0.176945
10	1	10	0.16628221
11	1	11	0.1806082
12	2	1	0.2085738
13	2	2	0.210945
14	2	3	0.20033082
15	2	4	0.199709
16	2	5	0.21345338
17	2	6	0.20350979
18	2	7	0.19185658
19	2	8	0.1969406
20	2	9	0.18813741
21	2	10	0.16074581
22	2	11	0.1374252
23	3	1	0.18989901
24	3	2	0.186949
25	3	3	0.1950786
26	3	4	0.18874539
27	3	5	0.19565478
28	3	6	0.1905362
29	3	7	0.17589919
30	3	8	0.18422322
31	3	9	0.1502606
32	3	10	0.15193018
33	3	11	0.10846501
34	4	1	0.21064501
35	4	2	0.20478062
36	4	3	0.1989864
37	4	4	0.1934236
38	4	5	0.19779877
39	4	6	0.188191
40	4	7	0.1814584
41	4	8	0.15783699
42	4	9	0.15499479
43	4	10	0.1362488
44	4	11	0.1319184
