Point	Row	Column	Fe_at
1	1	1	0.20541772
2	1	2	0.20562489
3	1	3	0.2057233
4	1	4	0.20532241
5	1	5	0.20624492
6	1	6	0.20834182
7	1	7	0.2100471
8	1	8	0.2137896
9	1	9	0.2167487
10	1	10	0.2286889
11	1	11	0.23936801
12	2	1	0.2035702
13	2	2	0.2060197
14	2	3	0.20915742
15	2	4	0.20652521
16	2	5	0.20722188
17	2	6	0.20825
18	2	7	0.21038668
19	2	8	0.2121336
20	2	9	0.21627672
21	2	10	0.22446802
22	2	11	0.2437755
23	3	1	0.21610332
24	3	2	0.2151707
25	3	3	0.21263281
26	3	4	0.2143847
27	3	5	0.21363558
28	3	6	0.21404929
29	3	7	0.21541581
30	3	8	0.21650383
31	3	9	0.22097459
32	3	10	0.22912827
33	3	11	0.25439733
34	4	1	0.2072103
35	4	2	0.20883152
36	4	3	0.2096096
37	4	4	0.20965099
38	4	5	0.21343318
39	4	6	0.2148324
40	4	7	0.2188682
41	4	8	0.22022928
42	4	9	0.22272427
43	4	10	0.2328191
44	4	11	0.25235349
