Point	Row	Column	Co_at
1	1	1	0.13095771
2	1	2	0.13084181
3	1	3	0.13147829
4	1	4	0.13229291
5	1	5	0.13328451
6	1	6	0.13387342
7	1	7	0.1378113
8	1	8	0.1379693
9	1	9	0.1385231
10	1	10	0.1419113
11	1	11	0.1387693
12	2	1	0.1325068
13	2	2	0.1297283
14	2	3	0.13166012
15	2	4	0.1338625
16	2	5	0.13271518
17	2	6	0.132044
18	2	7	0.13543458
19	2	8	0.13564999
20	2	9	0.13829972
21	2	10	0.14343882
22	2	11	0.13801239
23	3	1	0.13633852
24	3	2	0.1386811
25	3	3	0.1368719
26	3	4	0.1372079
27	3	5	0.13701899
28	3	6	0.1371733
29	3	7	0.1395264
30	3	8	0.13820831
31	3	9	0.1420539
32	3	10	0.14149858
33	3	11	0.14422321
34	4	1	0.135315
35	4	2	0.13774891
36	4	3	0.136391
37	4	4	0.1396279
38	4	5	0.13810919
39	4	6	0.13913129
40	4	7	0.14143071
41	4	8	0.14636779
42	4	9	0.14457658
43	4	10	0.14760751
44	4	11	0.1451315
