Point	Row	Column	_s_MaxIntensity
1	1	1	0.032819904
2	1	2	0.040513001
3	1	3	0.033327401
4	1	4	0.039270703
5	1	5	0.041541703
6	1	6	0.027034903
7	1	7	0.025457799
8	1	8	0.028585801
9	1	9	0.019636201
10	1	10	0.0317678
11	1	11	0.0676414
12	2	1	0.0309538
13	2	2	0.032262001
14	2	3	0.030451903
15	2	4	0.027355401
16	2	5	0.036326095
17	2	6	0.0293178
18	2	7	0.027017497
19	2	8	0.023211399
20	2	9	0.027937302
21	2	10	0.028791104
22	2	11	0.027740199
23	3	1	0.029326303
24	3	2	0.0322752
25	3	3	0.033401601
26	3	4	0.031398401
27	3	5	0.037195295
28	3	6	0.0308106
29	3	7	0.0183396
30	3	8	0.030763103
31	3	9	0.011836
32	3	10	0.018553898
33	3	11	0.036212504
34	4	1	0.031039201
35	4	2	0.041324105
36	4	3	0.0307396
37	4	4	0.026659399
38	4	5	0.030844897
39	4	6	0.030074799
40	4	7	0.026758799
41	4	8	0.017833099
42	4	9	0.022051297
43	4	10	0.01311
44	4	11	0.047888398
