Point	Row	Column	_s_Sigma
1	1	1	0.14318101
2	1	2	0.14991941
3	1	3	0.14602859
4	1	4	0.14510101
5	1	5	0.14295982
6	1	6	0.13965802
7	1	7	0.14108901
8	1	8	0.13110159
9	1	9	0.1321476
10	1	10	0.1242852
11	1	11	0.1307586
12	2	1	0.150226
13	2	2	0.149821
14	2	3	0.14848602
15	2	4	0.146871
16	2	5	0.14299859
17	2	6	0.14522
18	2	7	0.14351839
19	2	8	0.1307036
20	2	9	0.13064702
21	2	10	0.13223161
22	2	11	0.1267392
23	3	1	0.13454361
24	3	2	0.13762259
25	3	3	0.13931359
26	3	4	0.13946781
27	3	5	0.14023139
28	3	6	0.1378292
29	3	7	0.13255601
30	3	8	0.13711561
31	3	9	0.1355184
32	3	10	0.12536998
33	3	11	0.13050641
34	4	1	0.1353436
35	4	2	0.14338261
36	4	3	0.139752
37	4	4	0.13467801
38	4	5	0.12996139
39	4	6	0.1339564
40	4	7	0.1247026
41	4	8	0.12680198
42	4	9	0.13245478
43	4	10	0.116008
44	4	11	0.121
