Point	Row	Column	_s_Position
1	1	1	0.19466004
2	1	2	0.19443499
3	1	3	0.19495504
4	1	4	0.19592255
5	1	5	0.19627829
6	1	6	0.19559826
7	1	7	0.19808534
8	1	8	0.19611345
9	1	9	0.19495369
10	1	10	0.19146144
11	1	11	0.18349062
12	2	1	0.19713756
13	2	2	0.19319296
14	2	3	0.19315337
15	2	4	0.1966324
16	2	5	0.19520552
17	2	6	0.19401459
18	2	7	0.19581588
19	2	8	0.19502069
20	2	9	0.19502102
21	2	10	0.19493905
22	2	11	0.18074486
23	3	1	0.19341987
24	3	2	0.1959593
25	3	3	0.19580838
26	3	4	0.19512342
27	3	5	0.19537602
28	3	6	0.19527972
29	3	7	0.19654806
30	3	8	0.19481757
31	3	9	0.19565117
32	3	10	0.19089089
33	3	11	0.18090288
34	4	1	0.19752556
35	4	2	0.19872575
36	4	3	0.19709648
37	4	4	0.19988024
38	4	5	0.1964332
39	4	6	0.19653329
40	4	7	0.19626857
41	4	8	0.19963033
42	4	9	0.19680949
43	4	10	0.1940026
44	4	11	0.18256223
