Point	Row	Column	110_s_Area
1	1	1	0.41083544
2	1	2	0.41124979
3	1	3	0.4114466
4	1	4	0.41064483
5	1	5	0.41248983
6	1	6	0.41668364
7	1	7	0.42009419
8	1	8	0.42757919
9	1	9	0.4334974
10	1	10	0.45737779
11	1	11	0.47873601
12	2	1	0.4071404
13	2	2	0.4120394
14	2	3	0.41831484
15	2	4	0.41305041
16	2	5	0.41444376
17	2	6	0.4165
18	2	7	0.42077336
19	2	8	0.4242672
20	2	9	0.43255344
21	2	10	0.44893605
22	2	11	0.487551
23	3	1	0.43220663
24	3	2	0.43034139
25	3	3	0.42526561
26	3	4	0.42876941
27	3	5	0.42727116
28	3	6	0.42809859
29	3	7	0.43083161
30	3	8	0.43300766
31	3	9	0.44194919
32	3	10	0.45825654
33	3	11	0.50879467
34	4	1	0.4144206
35	4	2	0.41766304
36	4	3	0.4192192
37	4	4	0.41930199
38	4	5	0.42686635
39	4	6	0.42966479
40	4	7	0.43773639
41	4	8	0.44045857
42	4	9	0.44544855
43	4	10	0.46563819
44	4	11	0.50470698
