Point	Row	Column	110_s_Area
1	1	1	0.094521061
2	1	2	0.088549979
3	1	3	0.087032564
4	1	4	0.0902123
5	1	5	0.086957559
6	1	6	0.091829643
7	1	7	0.09598843
8	1	8	0.088301159
9	1	9	0.10908654
10	1	10	0.12548369
11	1	11	0.20901763
12	2	1	0.090001777
13	2	2	0.088404439
14	2	3	0.087094903
15	2	4	0.083502747
16	2	5	0.086044088
17	2	6	0.092903942
18	2	7	0.095549442
19	2	8	0.10201537
20	2	9	0.099816024
21	2	10	0.11670739
22	2	11	0.18289156
23	3	1	0.088839032
24	3	2	0.086717635
25	3	3	0.088076197
26	3	4	0.086809389
27	3	5	0.085856661
28	3	6	0.085375518
29	3	7	0.096630327
30	3	8	0.099205144
31	3	9	0.10195162
32	3	10	0.12608166
33	3	11	0.18362579
34	4	1	0.091129988
35	4	2	0.093875669
36	4	3	0.090033039
37	4	4	0.092945851
38	4	5	0.088585049
39	4	6	0.089087568
40	4	7	0.097635992
41	4	8	0.099049404
42	4	9	0.11086845
43	4	10	0.12928472
44	4	11	0.21347533
