Point	Row	Column	d_um
1	1	1	0.063680001
2	1	2	0.06261
3	1	3	0.062089998
4	1	4	0.059349999
5	1	5	0.05579
6	1	6	0.052209999
7	1	7	0.047660001
8	1	8	0.042130001
9	1	9	0.037289999
10	1	10	0.032809999
11	1	11	0.028379999
12	2	1	0.07626
13	2	2	0.075730003
14	2	3	0.074320003
15	2	4	0.072400004
16	2	5	0.068360001
17	2	6	0.063170001
18	2	7	0.056949999
19	2	8	0.05068
20	2	9	0.044610001
21	2	10	0.038940001
22	2	11	0.033489998
23	3	1	0.069640003
24	3	2	0.070869997
25	3	3	0.07
26	3	4	0.067460001
27	3	5	0.064570002
28	3	6	0.060339998
29	3	7	0.054730002
30	3	8	0.049070001
31	3	9	0.04318
32	3	10	0.038120002
33	3	11	0.03255
34	4	1	0.052540001
35	4	2	0.052579999
36	4	3	0.0515
37	4	4	0.050560001
38	4	5	0.04843
39	4	6	0.046080001
40	4	7	0.042660002
41	4	8	0.039170001
42	4	9	0.03469
43	4	10	0.030920001
44	4	11	0.02723
