Point	Row	Column	Fe_at
1	1	1	0.04726053
2	1	2	0.04427499
3	1	3	0.043516282
4	1	4	0.04510615
5	1	5	0.043478779
6	1	6	0.045914821
7	1	7	0.047994215
8	1	8	0.04415058
9	1	9	0.054543268
10	1	10	0.062741846
11	1	11	0.10450882
12	2	1	0.045000888
13	2	2	0.04420222
14	2	3	0.043547451
15	2	4	0.041751374
16	2	5	0.043022044
17	2	6	0.046451971
18	2	7	0.047774721
19	2	8	0.051007684
20	2	9	0.049908012
21	2	10	0.058353696
22	2	11	0.091445781
23	3	1	0.044419516
24	3	2	0.043358818
25	3	3	0.044038098
26	3	4	0.043404695
27	3	5	0.042928331
28	3	6	0.042687759
29	3	7	0.048315164
30	3	8	0.049602572
31	3	9	0.050975811
32	3	10	0.06304083
33	3	11	0.091812894
34	4	1	0.045564994
35	4	2	0.046937834
36	4	3	0.04501652
37	4	4	0.046472926
38	4	5	0.044292524
39	4	6	0.044543784
40	4	7	0.048817996
41	4	8	0.049524702
42	4	9	0.055434227
43	4	10	0.064642362
44	4	11	0.10673767
