Point	Row	Column	Y_at
1	1	1	0.12293634
2	1	2	0.12875688
3	1	3	0.1327191
4	1	4	0.12281304
5	1	5	0.12145435
6	1	6	0.13387074
7	1	7	0.12135435
8	1	8	0.12755074
9	1	9	0.11572679
10	1	10	0.11709516
11	1	11	0.11468431
12	2	1	0.13944228
13	2	2	0.13105144
14	2	3	0.12572891
15	2	4	0.13617441
16	2	5	0.13798848
17	2	6	0.12753053
18	2	7	0.12190794
19	2	8	0.12455502
20	2	9	0.12154487
21	2	10	0.12282448
22	2	11	0.11458917
23	3	1	0.1258975
24	3	2	0.12939733
25	3	3	0.13022822
26	3	4	0.13117917
27	3	5	0.12625125
28	3	6	0.12930852
29	3	7	0.12738527
30	3	8	0.12341493
31	3	9	0.12211304
32	3	10	0.12727016
33	3	11	0.10796395
34	4	1	0.12884574
35	4	2	0.12637492
36	4	3	0.11899643
37	4	4	0.12785643
38	4	5	0.12837298
39	4	6	0.1328806
40	4	7	0.12435549
41	4	8	0.13135704
42	4	9	0.11383221
43	4	10	0.1152138
44	4	11	0.1138031
