Point	Row	Column	Norm_d
1	1	1	0.74342239
2	1	2	0.72159904
3	1	3	0.71099329
4	1	4	0.65510911
5	1	5	0.58250052
6	1	6	0.50948399
7	1	7	0.41668367
8	1	8	0.30389556
9	1	9	0.2051805
10	1	10	0.11380787
11	1	11	0.023455027
12	2	1	1
13	2	2	0.98919028
14	2	3	0.96043241
15	2	4	0.9212727
16	2	5	0.83887416
17	2	6	0.7330206
18	2	7	0.60615951
19	2	8	0.47827861
20	2	9	0.35447684
21	2	10	0.23883337
22	2	11	0.12767693
23	3	1	0.86498064
24	3	2	0.89006728
25	3	3	0.8723231
26	3	4	0.82051808
27	3	5	0.76157457
28	3	6	0.67530084
29	3	7	0.56088108
30	3	8	0.44544157
31	3	9	0.32531103
32	3	10	0.22210892
33	3	11	0.108505
34	4	1	0.51621455
35	4	2	0.51703042
36	4	3	0.49500304
37	4	4	0.47583112
38	4	5	0.43238834
39	4	6	0.38445848
40	4	7	0.31470528
41	4	8	0.24352437
42	4	9	0.15215175
43	4	10	0.075260043
44	4	11	0
