Point	Row	Column	110_s_MaxIntensity
1	1	1	0.87989855
2	1	2	0.88992214
3	1	3	0.88645798
4	1	4	0.86971796
5	1	5	0.84070951
6	1	6	0.80110991
7	1	7	0.75306964
8	1	8	0.69898039
9	1	9	0.6412465
10	1	10	0.58209658
11	1	11	0.5234471
12	2	1	0.988262
13	2	2	1
14	2	3	0.99594247
15	2	4	0.97634804
16	2	5	0.94244432
17	2	6	0.8962689
18	2	7	0.84042102
19	2	8	0.77777213
20	2	9	0.71118343
21	2	10	0.64327836
22	2	11	0.57628256
23	3	1	0.953435
24	3	2	0.96461421
25	3	3	0.9607501
26	3	4	0.9420858
27	3	5	0.90977633
28	3	6	0.8657403
29	3	7	0.81242931
30	3	8	0.75255734
31	3	9	0.68883622
32	3	10	0.62376082
33	3	11	0.55945688
34	4	1	0.79450595
35	4	2	0.80323076
36	4	3	0.80021149
37	4	4	0.78563952
38	4	5	0.76034808
39	4	6	0.72575498
40	4	7	0.68368012
41	4	8	0.63615918
42	4	9	0.58525378
43	4	10	0.53289241
44	4	11	0.48075241
