Point	Row	Column	_s_FWHM
1	1	1	0.14975533
2	1	2	0.14841528
3	1	3	0.14672829
4	1	4	0.14070362
5	1	5	0.13745578
6	1	6	0.13538727
7	1	7	0.13076057
8	1	8	0.12865825
9	1	9	0.12206478
10	1	10	0.11739258
11	1	11	0.1138638
12	2	1	0.18085131
13	2	2	0.18243103
14	2	3	0.18433692
15	2	4	0.18093912
16	2	5	0.18197414
17	2	6	0.17394061
18	2	7	0.16913277
19	2	8	0.16400827
20	2	9	0.15741637
21	2	10	0.14360994
22	2	11	0.13448101
23	3	1	0.19277279
24	3	2	0.19217743
25	3	3	0.19346747
26	3	4	0.19060765
27	3	5	0.18853554
28	3	6	0.18913107
29	3	7	0.1870804
30	3	8	0.18284376
31	3	9	0.17873819
32	3	10	0.17044337
33	3	11	0.163645
34	4	1	0.16873382
35	4	2	0.16946539
36	4	3	0.16954723
37	4	4	0.16985935
38	4	5	0.17565225
39	4	6	0.17054273
40	4	7	0.17581628
41	4	8	0.17568213
42	4	9	0.17132737
43	4	10	0.17025453
44	4	11	0.17001344
