Point	Row	Column	_s_Area
1	1	1	0.46009088
2	1	2	0.45888281
3	1	3	0.4586421
4	1	4	0.46314788
5	1	5	0.46181443
6	1	6	0.46344918
7	1	7	0.46386397
8	1	8	0.4647961
9	1	9	0.46637517
10	1	10	0.47178942
11	1	11	0.47875965
12	2	1	0.44296026
13	2	2	0.44061413
14	2	3	0.4397743
15	2	4	0.44068623
16	2	5	0.44106257
17	2	6	0.44219834
18	2	7	0.44360045
19	2	8	0.44583705
20	2	9	0.44897771
21	2	10	0.4550181
22	2	11	0.46179244
23	3	1	0.43688309
24	3	2	0.43573421
25	3	3	0.43530104
26	3	4	0.43594205
27	3	5	0.43758926
28	3	6	0.43511581
29	3	7	0.43570423
30	3	8	0.43752426
31	3	9	0.43817121
32	3	10	0.44052234
33	3	11	0.44734803
34	4	1	0.44581002
35	4	2	0.4453474
36	4	3	0.44488293
37	4	4	0.44348779
38	4	5	0.4415049
39	4	6	0.4415397
40	4	7	0.43906108
41	4	8	0.4378792
42	4	9	0.43794486
43	4	10	0.4409312
44	4	11	0.44755057
