Point	Row	Column	Frac_111
1	1	1	0.28086174
2	1	2	0.28783035
3	1	3	0.28718787
4	1	4	0.28374541
5	1	5	0.28206944
6	1	6	0.29068208
7	1	7	0.29447338
8	1	8	0.26682243
9	1	9	0.27718863
10	1	10	0.25717631
11	1	11	0.2370481
12	2	1	0.30709922
13	2	2	0.28008845
14	2	3	0.24119544
15	2	4	0.24175854
16	2	5	0.22433795
17	2	6	0.24445465
18	2	7	0.29722479
19	2	8	0.28099415
20	2	9	0.29109833
21	2	10	0.2810176
22	2	11	0.25334641
23	3	1	0.27024403
24	3	2	0.25874922
25	3	3	0.24524923
26	3	4	0.22839786
27	3	5	0.23916367
28	3	6	0.2728872
29	3	7	0.26525426
30	3	8	0.26052374
31	3	9	0.25216308
32	3	10	0.24728931
33	3	11	0.22270139
34	4	1	0.21793033
35	4	2	0.22568573
36	4	3	0.21998551
37	4	4	0.21648929
38	4	5	0.22168022
39	4	6	0.22881807
40	4	7	0.21450286
41	4	8	0.19983214
42	4	9	0.2046918
43	4	10	0.19788907
44	4	11	0.17802411
