Point	Row	Column	FWHM_110
1	1	1	0.59449345
2	1	2	0.59221017
3	1	3	0.51877552
4	1	4	0.52834672
5	1	5	0.51829785
6	1	6	0.55565888
7	1	7	0.56272358
8	1	8	0.55652004
9	1	9	0.53709555
10	1	10	0.52474916
11	1	11	0.50982296
12	2	1	0.52597517
13	2	2	0.50095683
14	2	3	0.49506438
15	2	4	0.49613041
16	2	5	0.48894724
17	2	6	0.4941133
18	2	7	0.52395004
19	2	8	0.52094358
20	2	9	0.55303568
21	2	10	0.53707039
22	2	11	0.52250087
23	3	1	0.5056088
24	3	2	0.49891677
25	3	3	0.49858868
26	3	4	0.48593819
27	3	5	0.49373218
28	3	6	0.52389055
29	3	7	0.51786596
30	3	8	0.5191201
31	3	9	0.52357662
32	3	10	0.5060454
33	3	11	0.50436896
34	4	1	0.48913929
35	4	2	0.49268368
36	4	3	0.49249259
37	4	4	0.47916844
38	4	5	0.48794717
39	4	6	0.47892663
40	4	7	0.47496435
41	4	8	0.47504717
42	4	9	0.47158694
43	4	10	0.46957868
44	4	11	0.48152763
