Point	Row	Column	MaxInt_111
1	1	1	811.75885
2	1	2	914.95648
3	1	3	1127.6559
4	1	4	1159.7507
5	1	5	1231.8975
6	1	6	1197.0742
7	1	7	1211.274
8	1	8	1071.806
9	1	9	1135.8126
10	1	10	988.47028
11	1	11	851.31775
12	2	1	1241.7645
13	2	2	1274.7264
14	2	3	1147.5026
15	2	4	1189.8312
16	2	5	1128.8789
17	2	6	1289.0558
18	2	7	1601.4775
19	2	8	1483.2917
20	2	9	1421.2891
21	2	10	1319.9802
22	2	11	1068.769
23	3	1	1088.9427
24	3	2	1146.9813
25	3	3	1163.3987
26	3	4	1129.3198
27	3	5	1239.3254
28	3	6	1444.2963
29	3	7	1360.2897
30	3	8	1322.3151
31	3	9	1283.6588
32	3	10	1172.0134
33	3	11	947.75336
34	4	1	698.82111
35	4	2	819.97009
36	4	3	873.41089
37	4	4	939.04395
38	4	5	978.53741
39	4	6	1059.1709
40	4	7	995.37842
41	4	8	907.10089
42	4	9	895.90222
43	4	10	803.5675
44	4	11	655.35596
