Point	Row	Column	FWHM_111
1	1	1	0.57996172
2	1	2	0.58954412
3	1	3	0.56611842
4	1	4	0.54887599
5	1	5	0.52423662
6	1	6	0.51332259
7	1	7	0.54429162
8	1	8	0.57921147
9	1	9	0.57748598
10	1	10	0.54821551
11	1	11	0.5101037
12	2	1	0.57344335
13	2	2	0.52875799
14	2	3	0.57340705
15	2	4	0.64475524
16	2	5	0.81121248
17	2	6	0.93496943
18	2	7	
19	2	8	0.65486795
20	2	9	0.50373876
21	2	10	0.59454882
22	2	11	0.53696096
23	3	1	0.56165165
24	3	2	0.58772063
25	3	3	0.77261704
26	3	4	0.40281206
27	3	5	
28	3	6	0.47963119
29	3	7	0.55091047
30	3	8	
31	3	9	0.63445652
32	3	10	0.39789361
33	3	11	0.65160853
34	4	1	0.58344859
35	4	2	0.6874072
36	4	3	0.66673952
37	4	4	0.63751775
38	4	5	0.68321174
39	4	6	0.65827596
40	4	7	0.56833762
41	4	8	0.51577699
42	4	9	0.50805277
43	4	10	0.44222832
44	4	11	0.45028165
