Point	Row	Column	a_Ang
1	1	1	4.1213031
2	1	2	4.1207404
3	1	3	4.1201816
4	1	4	4.1196599
5	1	5	4.1203785
6	1	6	4.1208382
7	1	7	4.1200862
8	1	8	4.1193252
9	1	9	4.1206098
10	1	10	4.1240783
11	1	11	4.1256304
12	2	1	4.1203175
13	2	2	4.1191211
14	2	3	4.1148424
15	2	4	4.1194887
16	2	5	4.1285357
17	2	6	4.1359916
18	2	7	4.1383204
19	2	8	4.1385794
20	2	9	4.1347136
21	2	10	4.1253843
22	2	11	4.1237125
23	3	1	4.1216307
24	3	2	4.1186614
25	3	3	4.1319051
26	3	4	4.1387048
27	3	5	4.1399479
28	3	6	4.1391301
29	3	7	4.138782
30	3	8	4.1390877
31	3	9	4.1387749
32	3	10	4.1391335
33	3	11	4.1357508
34	4	1	4.1300654
35	4	2	4.1314812
36	4	3	4.1287374
37	4	4	4.1289554
38	4	5	4.1285663
39	4	6	4.1269436
40	4	7	4.1258593
41	4	8	4.1266017
42	4	9	4.1290412
43	4	10	4.1324859
44	4	11	4.1346998
