Point	Row	Column	110_s_Area
1	1	1	0.53304595
2	1	2	0.52030498
3	1	3	0.50992513
4	1	4	0.49040774
5	1	5	0.4815307
6	1	6	0.46052471
7	1	7	0.443086
8	1	8	0.4313435
9	1	9	0.4186939
10	1	10	0.41852614
11	1	11	0.43799984
12	2	1	0.52225232
13	2	2	0.50843215
14	2	3	0.49836966
15	2	4	0.47706708
16	2	5	0.45775625
17	2	6	0.44359332
18	2	7	0.42327353
19	2	8	0.4061659
20	2	9	0.39104265
21	2	10	0.38653684
22	2	11	0.39487845
23	3	1	0.51289296
24	3	2	0.49940357
25	3	3	0.48503694
26	3	4	0.46707717
27	3	5	0.44690117
28	3	6	0.4200708
29	3	7	0.40822908
30	3	8	0.39215633
31	3	9	0.37688234
32	3	10	0.36735174
33	3	11	0.38158888
34	4	1	0.51349348
35	4	2	0.49554622
36	4	3	0.47547337
37	4	4	0.4640545
38	4	5	0.44729719
39	4	6	0.42270625
40	4	7	0.4069567
41	4	8	0.39358938
42	4	9	0.3717019
43	4	10	0.37619165
44	4	11	0.39128971
