Point	Row	Column	_s_FWHM
1	1	1	0.47234088
2	1	2	0.48444378
3	1	3	0.50333601
4	1	4	0.52703577
5	1	5	0.53974599
6	1	6	0.55787158
7	1	7	0.58415961
8	1	8	0.59963918
9	1	9	0.60910779
10	1	10	0.62388861
11	1	11	0.61540335
12	2	1	0.48179036
13	2	2	0.50869823
14	2	3	0.52106494
15	2	4	0.54424953
16	2	5	0.56197596
17	2	6	0.58238065
18	2	7	0.60868692
19	2	8	0.62676901
20	2	9	0.65024728
21	2	10	0.65679759
22	2	11	0.6612817
23	3	1	0.48985574
24	3	2	0.52007967
25	3	3	0.52458382
26	3	4	0.5479427
27	3	5	0.57619202
28	3	6	0.60077757
29	3	7	0.62038755
30	3	8	0.63177711
31	3	9	0.64825106
32	3	10	0.66658753
33	3	11	0.67020273
34	4	1	0.48411652
35	4	2	0.50883341
36	4	3	0.53014773
37	4	4	0.5466162
38	4	5	0.56821978
39	4	6	0.58615893
40	4	7	0.61570358
41	4	8	0.62118936
42	4	9	0.64693677
43	4	10	0.65326959
44	4	11	0.65627122
