Point	Row	Column	_s_Area
1	1	1	0.27335963
2	1	2	0.26588947
3	1	3	0.26217875
4	1	4	0.25400743
5	1	5	0.24759197
6	1	6	0.23808666
7	1	7	0.22953843
8	1	8	0.2230944
9	1	9	0.2199952
10	1	10	0.21882065
11	1	11	0.22720073
12	2	1	0.26778391
13	2	2	0.26101527
14	2	3	0.25506139
15	2	4	0.24559797
16	2	5	0.23571549
17	2	6	0.22791913
18	2	7	0.22003998
19	2	8	0.21159364
20	2	9	0.2040204
21	2	10	0.20404984
22	2	11	0.20840846
23	3	1	0.26182976
24	3	2	0.25619709
25	3	3	0.25006852
26	3	4	0.24082567
27	3	5	0.23099668
28	3	6	0.21945192
29	3	7	0.21205831
30	3	8	0.20631656
31	3	9	0.19797671
32	3	10	0.19284554
33	3	11	0.20166421
34	4	1	0.26234728
35	4	2	0.25499287
36	4	3	0.24437477
37	4	4	0.23964152
38	4	5	0.23154475
39	4	6	0.22140542
40	4	7	0.21280596
41	4	8	0.20748433
42	4	9	0.19640641
43	4	10	0.19937946
44	4	11	0.20710002
