Point	Row	Column	d_um
1	1	1	0.075309999
2	1	2	0.079700001
3	1	3	0.084559999
4	1	4	0.086989999
5	1	5	0.088820003
6	1	6	0.088880002
7	1	7	0.087099999
8	1	8	0.084299996
9	1	9	0.080880001
10	1	10	0.076360002
11	1	11	0.071489997
12	2	1	0.092189997
13	2	2	0.099749997
14	2	3	0.10693
15	2	4	0.11178
16	2	5	0.11482
17	2	6	0.11505
18	2	7	0.11453
19	2	8	0.11054
20	2	9	0.10518
21	2	10	0.09894
22	2	11	0.091870002
23	3	1	0.090109996
24	3	2	0.098059997
25	3	3	0.10484
26	3	4	0.11074
27	3	5	0.11521
28	3	6	0.11695
29	3	7	0.11624
30	3	8	0.11454
31	3	9	0.10944
32	3	10	0.10339
33	3	11	0.096259996
34	4	1	0.071010001
35	4	2	0.075649999
36	4	3	0.081019998
37	4	4	0.085450001
38	4	5	0.089659996
39	4	6	0.091600001
40	4	7	0.091959998
41	4	8	0.091200002
42	4	9	0.08952
43	4	10	0.085490003
44	4	11	0.080760002
