Point	Row	Column	_s_Position
1	1	1	0.012504856
2	1	2	0.010788299
3	1	3	0.013761978
4	1	4	0.017329302
5	1	5	0.013786021
6	1	6	0.016431641
7	1	7	0.017416302
8	1	8	0.016635697
9	1	9	0.024201073
10	1	10	0.021838818
11	1	11	0.018047497
12	2	1	0.012431242
13	2	2	0.013024515
14	2	3	0.011519855
15	2	4	0.014382089
16	2	5	0.014503441
17	2	6	0.013431243
18	2	7	0.01909472
19	2	8	0.020110931
20	2	9	0.020829007
21	2	10	0.026418598
22	2	11	0.026316673
23	3	1	0.010280114
24	3	2	0.012676406
25	3	3	0.015095954
26	3	4	0.015129383
27	3	5	0.016333781
28	3	6	0.02145463
29	3	7	0.018730137
30	3	8	0.024812352
31	3	9	0.024082465
32	3	10	0.023774663
33	3	11	0.026950162
34	4	1	0.010673938
35	4	2	0.014156772
36	4	3	0.013581769
37	4	4	0.015886793
38	4	5	0.017051022
39	4	6	0.022701098
40	4	7	0.021915752
41	4	8	0.025760127
42	4	9	0.02687148
43	4	10	0.02829688
44	4	11	0.027656108
