Point	Row	Column	Fe_at
1	1	1	0.26652297
2	1	2	0.26015249
3	1	3	0.25496256
4	1	4	0.24520387
5	1	5	0.24076535
6	1	6	0.23026235
7	1	7	0.221543
8	1	8	0.21567175
9	1	9	0.20934695
10	1	10	0.20926307
11	1	11	0.21899992
12	2	1	0.26112616
13	2	2	0.25421607
14	2	3	0.24918483
15	2	4	0.23853354
16	2	5	0.22887813
17	2	6	0.22179666
18	2	7	0.21163677
19	2	8	0.20308295
20	2	9	0.19552132
21	2	10	0.19326842
22	2	11	0.19743922
23	3	1	0.25644648
24	3	2	0.24970178
25	3	3	0.24251847
26	3	4	0.23353858
27	3	5	0.22345059
28	3	6	0.2100354
29	3	7	0.20411454
30	3	8	0.19607817
31	3	9	0.18844117
32	3	10	0.18367587
33	3	11	0.19079444
34	4	1	0.25674674
35	4	2	0.24777311
36	4	3	0.23773669
37	4	4	0.23202725
38	4	5	0.22364859
39	4	6	0.21135312
40	4	7	0.20347835
41	4	8	0.19679469
42	4	9	0.18585095
43	4	10	0.18809582
44	4	11	0.19564486
