Point	Row	Column	Zr_at
1	1	1	0.23617044
2	1	2	0.24222189
3	1	3	0.25166801
4	1	4	0.26351789
5	1	5	0.26987299
6	1	6	0.27893579
7	1	7	0.29207981
8	1	8	0.29981959
9	1	9	0.3045539
10	1	10	0.31194431
11	1	11	0.30770168
12	2	1	0.24089518
13	2	2	0.25434911
14	2	3	0.26053247
15	2	4	0.27212477
16	2	5	0.28098798
17	2	6	0.29119033
18	2	7	0.30434346
19	2	8	0.3133845
20	2	9	0.32512364
21	2	10	0.32839879
22	2	11	0.33064085
23	3	1	0.24492787
24	3	2	0.26003984
25	3	3	0.26229191
26	3	4	0.27397135
27	3	5	0.28809601
28	3	6	0.30038878
29	3	7	0.31019378
30	3	8	0.31588855
31	3	9	0.32412553
32	3	10	0.33329377
33	3	11	0.33510137
34	4	1	0.24205826
35	4	2	0.2544167
36	4	3	0.26507387
37	4	4	0.2733081
38	4	5	0.28410989
39	4	6	0.29307947
40	4	7	0.30785179
41	4	8	0.31059468
42	4	9	0.32346839
43	4	10	0.32663479
44	4	11	0.32813561
