Point	Row	Column	_s_MaxIntensity
1	1	1	0.019060103
2	1	2	0.016222714
3	1	3	0.027693553
4	1	4	0.03505059
5	1	5	0.034929898
6	1	6	0.034044921
7	1	7	0.043236446
8	1	8	0.045827992
9	1	9	0.049098171
10	1	10	0.06152989
11	1	11	0.069804855
12	2	1	0.017358219
13	2	2	0.030728754
14	2	3	0.03118767
15	2	4	0.035445463
16	2	5	0.033406921
17	2	6	0.038218934
18	2	7	0.048766885
19	2	8	0.04995627
20	2	9	0.058288082
21	2	10	0.064897269
22	2	11	0.078098588
23	3	1	0.013515237
24	3	2	0.032473896
25	3	3	0.024720857
26	3	4	0.029594054
27	3	5	0.038185384
28	3	6	0.039681405
29	3	7	0.044504169
30	3	8	0.044410259
31	3	9	0.044204455
32	3	10	0.052278638
33	3	11	0.073531151
34	4	1	0.0088110808
35	4	2	0.018819122
36	4	3	0.018897286
37	4	4	0.025899248
38	4	5	0.031309288
39	4	6	0.028969742
40	4	7	0.041315518
41	4	8	0.036158007
42	4	9	0.039749596
43	4	10	0.052028496
44	4	11	0.07047125
