Point	Row	Column	Norm_d
1	1	1	0.23862661
2	1	2	0.31902719
3	1	3	0.38011444
4	1	4	0.41545063
5	1	5	0.42103004
6	1	6	0.38655221
7	1	7	0.32532188
8	1	8	0.24391988
9	1	9	0.14692418
10	1	10	0.022174535
11	1	11	-0.097711019
12	2	1	0.65693849
13	2	2	0.77868384
14	2	3	0.89513588
15	2	4	0.96838343
16	2	5	1
17	2	6	0.99599427
18	2	7	0.92217451
19	2	8	0.83605152
20	2	9	0.71673822
21	2	10	0.5509299
22	2	11	0.37567955
23	3	1	0.52160227
24	3	2	0.66595137
25	3	3	0.78383404
26	3	4	0.87010014
27	3	5	0.93261802
28	3	6	0.95307583
29	3	7	0.91745353
30	3	8	0.85693848
31	3	9	0.74306154
32	3	10	0.61487842
33	3	11	0.45693848
34	4	1	0
35	4	2	0.097997136
36	4	3	0.18798283
37	4	4	0.25021461
38	4	5	0.30929899
39	4	6	0.32474965
40	4	7	0.3311874
41	4	8	0.29413447
42	4	9	0.22603719
43	4	10	0.15479256
44	4	11	0.049499284
