Point	Row	Column	d_um
1	1	1	0.13078
2	1	2	0.1364
3	1	3	0.14067
4	1	4	0.14314
5	1	5	0.14353
6	1	6	0.14112
7	1	7	0.13684
8	1	8	0.13115001
9	1	9	0.12437
10	1	10	0.11565
11	1	11	0.10727
12	2	1	0.16001999
13	2	2	0.16853
14	2	3	0.17667
15	2	4	0.18178999
16	2	5	0.184
17	2	6	0.18371999
18	2	7	0.17856
19	2	8	0.17253999
20	2	9	0.16419999
21	2	10	0.15261
22	2	11	0.14036
23	3	1	0.15056001
24	3	2	0.16065
25	3	3	0.16889
26	3	4	0.17491999
27	3	5	0.17929
28	3	6	0.18072
29	3	7	0.17823
30	3	8	0.17399999
31	3	9	0.16604
32	3	10	0.15707999
33	3	11	0.14603999
34	4	1	0.1141
35	4	2	0.12095
36	4	3	0.12724
37	4	4	0.13158999
38	4	5	0.13572
39	4	6	0.13680001
40	4	7	0.13725001
41	4	8	0.13466001
42	4	9	0.12989999
43	4	10	0.12492
44	4	11	0.11756
