Point	Row	Column	a_Ang
1	1	1	4.0460277
2	1	2	4.0457864
3	1	3	4.0438256
4	1	4	4.0433755
5	1	5	4.0430508
6	1	6	4.0396357
7	1	7	4.0421047
8	1	8	4.0415101
9	1	9	4.0426283
10	1	10	4.0435987
11	1	11	4.0411854
12	2	1	4.0406895
13	2	2	4.0368237
14	2	3	4.036623
15	2	4	4.0412078
16	2	5	4.0459118
17	2	6	4.0445266
18	2	7	4.0480571
19	2	8	4.047997
20	2	9	4.0464802
21	2	10	4.0453715
22	2	11	4.0465951
23	3	1	4.0427513
24	3	2	4.0419617
25	3	3	4.0389318
26	3	4	4.0418582
27	3	5	4.0446548
28	3	6	4.0471926
29	3	7	4.0487494
30	3	8	4.0495243
31	3	9	4.048646
32	3	10	4.0483804
33	3	11	4.048315
34	4	1	4.0417166
35	4	2	4.0411968
36	4	3	4.0417776
37	4	4	4.0404696
38	4	5	4.0444026
39	4	6	4.0481997
40	4	7	4.0459847
41	4	8	4.0481238
42	4	9	4.0496583
43	4	10	4.0483327
44	4	11	4.048327
