Point	Row	Column	MaxInt_110
1	1	1	1282.4353
2	1	2	1487.4332
3	1	3	1316.7155
4	1	4	1159.9692
5	1	5	1088.3037
6	1	6	1082.774
7	1	7	1040.9563
8	1	8	1015.0778
9	1	9	1034.8616
10	1	10	1105.6187
11	1	11	904.21698
12	2	1	1555.9171
13	2	2	1420.2161
14	2	3	1407.541
15	2	4	1420.2081
16	2	5	1506.4305
17	2	6	1476.3849
18	2	7	1539.4409
19	2	8	1504.0836
20	2	9	1459.7909
21	2	10	1238.958
22	2	11	1205.8099
23	3	1	802.03821
24	3	2	960.10266
25	3	3	1081.9132
26	3	4	1213.4158
27	3	5	1315.3654
28	3	6	1395.067
29	3	7	1388.3395
30	3	8	1368.4476
31	3	9	1325.8438
32	3	10	1255.239
33	3	11	1199.8419
34	4	1	
35	4	2	
36	4	3	393.05157
37	4	4	543.84808
38	4	5	616.81586
39	4	6	708.85162
40	4	7	770.90686
41	4	8	802.63873
42	4	9	854.86841
43	4	10	1054.7906
44	4	11	981.00793
