Point	Row	Column	_s_MaxIntensity
1	1	1	0.043427393
2	1	2	0.0484193
3	1	3	0.046806868
4	1	4	0.047716659
5	1	5	0.045745261
6	1	6	0.044705629
7	1	7	0.040341008
8	1	8	0.039257389
9	1	9	0.038038179
10	1	10	0.045746125
11	1	11	0.074205525
12	2	1	0.046265997
13	2	2	0.049662877
14	2	3	0.045470424
15	2	4	0.044161506
16	2	5	0.050755866
17	2	6	0.046251643
18	2	7	0.043843202
19	2	8	0.042033382
20	2	9	0.042566322
21	2	10	0.038883004
22	2	11	0.049555466
23	3	1	0.048138767
24	3	2	0.046978332
25	3	3	0.046630774
26	3	4	0.049365714
27	3	5	0.048869301
28	3	6	0.042715501
29	3	7	0.042317919
30	3	8	0.039739262
31	3	9	0.036663607
32	3	10	0.03939198
33	3	11	0.052781057
34	4	1	0.041772589
35	4	2	0.040528782
36	4	3	0.045723017
37	4	4	0.04088885
38	4	5	0.044169094
39	4	6	0.03924942
40	4	7	0.034824613
41	4	8	0.035222836
42	4	9	0.033803713
43	4	10	0.030430673
44	4	11	0.053428303
