Point	Row	Column	_s_Area
1	1	1	0.44551226
2	1	2	0.4464485
3	1	3	0.4453356
4	1	4	0.44642517
5	1	5	0.44858634
6	1	6	0.44913554
7	1	7	0.44689259
8	1	8	0.44530299
9	1	9	0.4466387
10	1	10	0.45011088
11	1	11	0.44952691
12	2	1	0.44497305
13	2	2	0.44584441
14	2	3	0.44553903
15	2	4	0.44228998
16	2	5	0.44570121
17	2	6	0.44593474
18	2	7	0.44450095
19	2	8	0.44536439
20	2	9	0.44816741
21	2	10	0.4480767
22	2	11	0.45593223
23	3	1	0.44454634
24	3	2	0.44367126
25	3	3	0.44385788
26	3	4	0.44416523
27	3	5	0.44451243
28	3	6	0.44426823
29	3	7	0.44095591
30	3	8	0.44410446
31	3	9	0.44602117
32	3	10	0.44414935
33	3	11	0.45210496
34	4	1	0.44126162
35	4	2	0.44357783
36	4	3	0.44517368
37	4	4	0.43996754
38	4	5	0.44270816
39	4	6	0.44114092
40	4	7	0.44237974
41	4	8	0.44320184
42	4	9	0.44328785
43	4	10	0.44413361
44	4	11	0.45727021
