Point	Row	Column	Norm_d
1	1	1	0.74313831
2	1	2	0.76670361
3	1	3	0.75783199
4	1	4	0.72248405
5	1	5	0.6638481
6	1	6	0.58136958
7	1	7	0.49833655
8	1	8	0.39963958
9	1	9	0.28250623
10	1	10	0.17105629
11	1	11	0.11491545
12	2	1	0.95092875
13	2	2	1
14	2	3	0.99376214
15	2	4	0.96187967
16	2	5	0.89548099
17	2	6	0.80690324
18	2	7	0.69531465
19	2	8	0.56736898
20	2	9	0.43720543
21	2	10	0.3130025
22	2	11	0.18214583
23	3	1	0.83462709
24	3	2	0.87371778
25	3	3	0.88245082
26	3	4	0.85666758
27	3	5	0.80052674
28	3	6	0.72719711
29	3	7	0.63695592
30	3	8	0.5245356
31	3	9	0.39534238
32	3	10	0.28389242
33	3	11	0.15414472
34	4	1	0.48835596
35	4	2	0.51108956
36	4	3	0.51372331
37	4	4	0.50873303
38	4	5	0.4671472
39	4	6	0.42001665
40	4	7	0.35001385
41	4	8	0.26822844
42	4	9	0.18893817
43	4	10	0.098835595
44	4	11	0
