Point	Row	Column	a_Ang
1	1	1	4.1839061
2	1	2	4.1906199
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	4.1920457
11	1	11	4.1892061
12	2	1	4.1825318
13	2	2	4.182765
14	2	3	4.1838474
15	2	4	4.1855869
16	2	5	4.1876416
17	2	6	4.1889691
18	2	7	4.1886911
19	2	8	4.1872845
20	2	9	4.1867833
21	2	10	4.1860805
22	2	11	4.1872387
23	3	1	4.1838713
24	3	2	4.1849771
25	3	3	4.1848397
26	3	4	4.1860733
27	3	5	4.1867375
28	3	6	4.1862364
29	3	7	4.1859264
30	3	8	4.1854587
31	3	9	4.185966
32	3	10	4.1871552
33	3	11	4.1881156
34	4	1	4.1866069
35	4	2	4.1881499
36	4	3	4.187499
37	4	4	4.1871629
38	4	5	4.187119
39	4	6	4.1873193
40	4	7	4.1875267
41	4	8	4.1875644
42	4	9	4.1882429
43	4	10	4.1893849
44	4	11	4.1901479
