Point	Row	Column	Frac_200
1	1	1	0.077573664
2	1	2	0.18548854
3	1	3	0
4	1	4	0
5	1	5	0
6	1	6	0
7	1	7	0
8	1	8	0
9	1	9	0
10	1	10	0.12231933
11	1	11	0.091999546
12	2	1	0.082775295
13	2	2	0.075493991
14	2	3	0.069695637
15	2	4	0.088734597
16	2	5	0.11223147
17	2	6	0.1297057
18	2	7	0.098993771
19	2	8	0.084588647
20	2	9	0.094654009
21	2	10	0.095914192
22	2	11	0.091857888
23	3	1	0.060998552
24	3	2	0.05807817
25	3	3	0.061317805
26	3	4	0.063517623
27	3	5	0.067324802
28	3	6	0.070009291
29	3	7	0.071186982
30	3	8	0.072465114
31	3	9	0.071438707
32	3	10	0.077694394
33	3	11	0.085290939
34	4	1	0.059655704
35	4	2	0
36	4	3	0
37	4	4	0
38	4	5	0
39	4	6	0.059519723
40	4	7	0.067759372
41	4	8	0
42	4	9	0
43	4	10	0
44	4	11	0.083425537
