Point	Row	Column	Frac_111
1	1	1	0.073059887
2	1	2	0
3	1	3	0
4	1	4	0
5	1	5	0
6	1	6	0
7	1	7	0
8	1	8	0
9	1	9	0
10	1	10	0
11	1	11	0.099570602
12	2	1	0.10480145
13	2	2	0.097655483
14	2	3	0.091009051
15	2	4	0.064205095
16	2	5	0
17	2	6	0
18	2	7	0.062935032
19	2	8	0.090644769
20	2	9	0.11054335
21	2	10	0.12100025
22	2	11	0.12505478
23	3	1	0.11145346
24	3	2	0.1075938
25	3	3	0.10105792
26	3	4	0.093536407
27	3	5	0.084708653
28	3	6	0.089905679
29	3	7	0.10030756
30	3	8	0.10928957
31	3	9	0.11661372
32	3	10	0.11971002
33	3	11	0.10095929
34	4	1	0.095166326
35	4	2	0.10697363
36	4	3	0.10866203
37	4	4	0.11249162
38	4	5	0.11828326
39	4	6	0.10357604
40	4	7	0.094958708
41	4	8	0.10271978
42	4	9	0.087222457
43	4	10	0.093907602
44	4	11	0.09000545
