Point	Row	Column	Norm_d
1	1	1	0.53875309
2	1	2	0.59961361
3	1	3	0.62406182
4	1	4	0.61462438
5	1	5	0.58148175
6	1	6	0.5223304
7	1	7	0.42587501
8	1	8	0.30407965
9	1	9	0.18131827
10	1	10	0.056699116
11	1	11	-0.061083451
12	2	1	0.8417924
13	2	2	0.94159174
14	2	3	0.98602957
15	2	4	1
16	2	5	0.96760052
17	2	6	0.88177156
18	2	7	0.76086795
19	2	8	0.62354165
20	2	9	0.46540833
21	2	10	0.29649997
22	2	11	0.1518169
23	3	1	0.70409453
24	3	2	0.78984916
25	3	3	0.85620868
26	3	4	0.86014712
27	3	5	0.8335439
28	3	6	0.77402097
29	3	7	0.67013448
30	3	8	0.55866838
31	3	9	0.41242477
32	3	10	0.26476926
33	3	11	0.11770826
34	4	1	0.24002378
35	4	2	0.30028981
36	4	3	0.34814593
37	4	4	0.35490823
38	4	5	0.34420747
39	4	6	0.31455749
40	4	7	0.26283717
41	4	8	0.19320799
42	4	9	0.099204876
43	4	10	0
44	4	11	-0.092665531
