Point	Row	Column	Frac_110
1	1	1	0.84936643
2	1	2	0.81451148
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	0.87768066
11	1	11	0.80842984
12	2	1	0.81242329
13	2	2	0.82685053
14	2	3	0.83929533
15	2	4	0.84706032
16	2	5	0.88776851
17	2	6	0.87029427
18	2	7	0.83807123
19	2	8	0.82476658
20	2	9	0.79480267
21	2	10	0.78308558
22	2	11	0.78308731
23	3	1	0.82754797
24	3	2	0.83432806
25	3	3	0.83762425
26	3	4	0.84294599
27	3	5	0.84796655
28	3	6	0.84008503
29	3	7	0.82850546
30	3	8	0.81824529
31	3	9	0.81194758
32	3	10	0.80259562
33	3	11	0.81374979
34	4	1	0.84517795
35	4	2	0.89302635
36	4	3	0.89133799
37	4	4	0.88750839
38	4	5	0.88171673
39	4	6	0.83690423
40	4	7	0.83728194
41	4	8	0.89728022
42	4	9	0.91277754
43	4	10	0.90609241
44	4	11	0.82656902
