Point	Row	Column	Y_at
1	1	1	0.11399393
2	1	2	0.11254115
3	1	3	0.11255861
4	1	4	0.11001582
5	1	5	0.11037257
6	1	6	0.11034837
7	1	7	0.11161608
8	1	8	0.11202627
9	1	9	0.11132175
10	1	10	0.11033187
11	1	11	0.1094844
12	2	1	0.11574318
13	2	2	0.11453838
14	2	3	0.11310373
15	2	4	0.11241318
16	2	5	0.11528827
17	2	6	0.11424812
18	2	7	0.11199125
19	2	8	0.11527228
20	2	9	0.11427731
21	2	10	0.11269703
22	2	11	0.11594037
23	3	1	0.11318097
24	3	2	0.11344416
25	3	3	0.1154702
26	3	4	0.11342046
27	3	5	0.11255857
28	3	6	0.11448364
29	3	7	0.11332704
30	3	8	0.11358
31	3	9	0.1131212
32	3	10	0.11356159
33	3	11	0.11527783
34	4	1	0.11631026
35	4	2	0.1153993
36	4	3	0.11330447
37	4	4	0.11327717
38	4	5	0.1097737
39	4	6	0.1141398
40	4	7	0.11770859
41	4	8	0.11483031
42	4	9	0.11658836
43	4	10	0.11401786
44	4	11	0.11397222
