Point	Row	Column	PeakArea_110
1	1	1	20.134552
2	1	2	14.65923
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	16.307014
11	1	11	19.869806
12	2	1	15.838856
13	2	2	15.935908
14	2	3	16.30542
15	2	4	16.39716
16	2	5	16.394642
17	2	6	15.394704
18	2	7	15.805055
19	2	8	14.843948
20	2	9	14.567163
21	2	10	14.815273
22	2	11	16.020967
23	3	1	16.403915
24	3	2	16.705214
25	3	3	16.966593
26	3	4	16.444542
27	3	5	16.546213
28	3	6	16.33724
29	3	7	15.57941
30	3	8	14.832525
31	3	9	15.504263
32	3	10	15.800947
33	3	11	16.641932
34	4	1	19.145691
35	4	2	19.742338
36	4	3	18.6101
37	4	4	19.110703
38	4	5	18.50964
39	4	6	18.935955
40	4	7	18.617842
41	4	8	17.634598
42	4	9	19.507305
43	4	10	20.12842
44	4	11	19.605654
