Point	Row	Column	FWHM_200
1	1	1	0.75664055
2	1	2	0.81649423
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	0.74619025
11	1	11	0.70902163
12	2	1	0.72587687
13	2	2	0.73534763
14	2	3	0.84210664
15	2	4	0.74460781
16	2	5	0.72351044
17	2	6	0.70088732
18	2	7	0.75311249
19	2	8	0.82301444
20	2	9	0.73011178
21	2	10	0.77579045
22	2	11	0.72342205
23	3	1	0.69489509
24	3	2	0.76041615
25	3	3	0.71474952
26	3	4	0.73390085
27	3	5	0.749704
28	3	6	0.74881727
29	3	7	0.78992629
30	3	8	0.65246987
31	3	9	0.84192419
32	3	10	0.76236486
33	3	11	0.7117998
34	4	1	0.74342227
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	0.74571115
40	4	7	0.65859014
41	4	8	
42	4	9	
43	4	10	
44	4	11	0.82377958
