Point	Row	Column	Pos_110
1	1	1	30.172146
2	1	2	30.122658
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	30.112171
11	1	11	30.133066
12	2	1	30.182295
13	2	2	30.180573
14	2	3	30.172579
15	2	4	30.15974
16	2	5	30.14459
17	2	6	30.134809
18	2	7	30.136858
19	2	8	30.147223
20	2	9	30.150917
21	2	10	30.156099
22	2	11	30.14756
23	3	1	30.1724
24	3	2	30.164238
25	3	3	30.165255
26	3	4	30.156153
27	3	5	30.151255
28	3	6	30.154951
29	3	7	30.157236
30	3	8	30.160685
31	3	9	30.156942
32	3	10	30.148178
33	3	11	30.141098
34	4	1	30.152218
35	4	2	30.140846
36	4	3	30.145641
37	4	4	30.148119
38	4	5	30.148445
39	4	6	30.146965
40	4	7	30.145437
41	4	8	30.145163
42	4	9	30.14016
43	4	10	30.13175
44	4	11	30.126133
