Point	Row	Column	110_s_Area
1	1	1	0.36403951
2	1	2	0.37858254
3	1	3	0.38999352
4	1	4	0.41246453
5	1	5	0.43139097
6	1	6	0.44978136
7	1	7	0.47436175
8	1	8	0.49461094
9	1	9	0.51536554
10	1	10	0.54058611
11	1	11	0.5653643
12	2	1	0.32506081
13	2	2	0.33976534
14	2	3	0.35638714
15	2	4	0.37599
16	2	5	0.3976177
17	2	6	0.42163232
18	2	7	0.44566548
19	2	8	0.47447383
20	2	9	0.49766308
21	2	10	0.5242126
22	2	11	0.54698378
23	3	1	0.3120037
24	3	2	0.33030295
25	3	3	0.34637049
26	3	4	0.36381608
27	3	5	0.38659275
28	3	6	0.41005409
29	3	7	0.43481633
30	3	8	0.45501313
31	3	9	0.48207274
32	3	10	0.50474578
33	3	11	0.53502989
34	4	1	0.3180283
35	4	2	0.33067799
36	4	3	0.34835798
37	4	4	0.36330399
38	4	5	0.38476291
39	4	6	0.40744433
40	4	7	0.42816618
41	4	8	0.44985953
42	4	9	0.46681038
43	4	10	0.49586895
44	4	11	0.5223214
