Point	Row	Column	d_um
1	1	1	0.19558001
2	1	2	0.21018
3	1	3	0.22186001
4	1	4	0.23157001
5	1	5	0.23868001
6	1	6	0.24329001
7	1	7	0.24173
8	1	8	0.23788001
9	1	9	0.22965001
10	1	10	0.2182
11	1	11	0.20527001
12	2	1	0.2476
13	2	2	0.26613
14	2	3	0.28365001
15	2	4	0.29686999
16	2	5	0.30489999
17	2	6	0.30954
18	2	7	0.30544001
19	2	8	0.29795
20	2	9	0.28433999
21	2	10	0.26776999
22	2	11	0.25009999
23	3	1	0.24132
24	3	2	0.25760001
25	3	3	0.27088001
26	3	4	0.28316
27	3	5	0.29099
28	3	6	0.29071
29	3	7	0.28771001
30	3	8	0.27924001
31	3	9	0.26587
32	3	10	0.25125
33	3	11	0.23165999
34	4	1	0.18811999
35	4	2	0.19878
36	4	3	0.20636
37	4	4	0.21247
38	4	5	0.21475001
39	4	6	0.21405999
40	4	7	0.21061
41	4	8	0.20454
42	4	9	0.19487
43	4	10	0.1849
44	4	11	0.17328
