Point	Row	Column	_s_Position
1	1	1	0.028663993
2	1	2	0.022863092
3	1	3	0.024033768
4	1	4	0.019862257
5	1	5	0.018065356
6	1	6	0.018770061
7	1	7	0.013315002
8	1	8	0.013257651
9	1	9	0.011463135
10	1	10	0.0098640267
11	1	11	0.0086730868
12	2	1	0.031271633
13	2	2	0.030559273
14	2	3	0.027127685
15	2	4	0.023310389
16	2	5	0.020408794
17	2	6	0.01977169
18	2	7	0.015420681
19	2	8	0.01477209
20	2	9	0.013224232
21	2	10	0.01034649
22	2	11	0.010931592
23	3	1	0.033161175
24	3	2	0.031640392
25	3	3	0.027786333
26	3	4	0.026252337
27	3	5	0.022405965
28	3	6	0.019790409
29	3	7	0.018160759
30	3	8	0.015957592
31	3	9	0.013740167
32	3	10	0.012614392
33	3	11	0.012443288
34	4	1	0.032073174
35	4	2	0.032267209
36	4	3	0.027039599
37	4	4	0.028567111
38	4	5	0.024483152
39	4	6	0.022237798
40	4	7	0.018501975
41	4	8	0.01836176
42	4	9	0.016436171
43	4	10	0.012835558
44	4	11	0.014685186
