Point	Row	Column	PeakArea_110
1	1	1	12.631104
2	1	2	12.498104
3	1	3	12.509745
4	1	4	12.534279
5	1	5	12.296723
6	1	6	12.296102
7	1	7	12.36992
8	1	8	11.852633
9	1	9	11.538502
10	1	10	11.553859
11	1	11	11.746574
12	2	1	11.283015
13	2	2	11.19765
14	2	3	11.50788
15	2	4	13.139274
16	2	5	12.515275
17	2	6	12.824354
18	2	7	11.907511
19	2	8	10.74954
20	2	9	10.517727
21	2	10	10.570306
22	2	11	10.710293
23	3	1	11.319688
24	3	2	11.380102
25	3	3	11.299472
26	3	4	12.846519
27	3	5	10.222776
28	3	6	3.9091392
29	3	7	2.5788145
30	3	8	4.6177583
31	3	9	8.7750654
32	3	10	11.331051
33	3	11	11.528278
34	4	1	11.527729
35	4	2	11.666277
36	4	3	11.638617
37	4	4	11.605913
38	4	5	11.691031
39	4	6	11.872708
40	4	7	12.622959
41	4	8	12.134054
42	4	9	11.822741
43	4	10	11.333797
44	4	11	10.709919
