Point	Row	Column	Fe_at
1	1	1	0.18201976
2	1	2	0.18929127
3	1	3	0.19499676
4	1	4	0.20623226
5	1	5	0.21569549
6	1	6	0.22489068
7	1	7	0.23718087
8	1	8	0.24730547
9	1	9	0.25768277
10	1	10	0.27029306
11	1	11	0.28268215
12	2	1	0.16253041
13	2	2	0.16988267
14	2	3	0.17819357
15	2	4	0.187995
16	2	5	0.19880885
17	2	6	0.21081616
18	2	7	0.22283274
19	2	8	0.23723692
20	2	9	0.24883154
21	2	10	0.2621063
22	2	11	0.27349189
23	3	1	0.15600185
24	3	2	0.16515148
25	3	3	0.17318524
26	3	4	0.18190804
27	3	5	0.19329637
28	3	6	0.20502704
29	3	7	0.21740817
30	3	8	0.22750656
31	3	9	0.24103637
32	3	10	0.25237289
33	3	11	0.26751494
34	4	1	0.15901415
35	4	2	0.16533899
36	4	3	0.17417899
37	4	4	0.18165199
38	4	5	0.19238146
39	4	6	0.20372216
40	4	7	0.21408309
41	4	8	0.22492976
42	4	9	0.23340519
43	4	10	0.24793448
44	4	11	0.2611607
