Point	Row	Column	_s_FWHM
1	1	1	0.66438621
2	1	2	0.66043347
3	1	3	0.64204013
4	1	4	0.62558621
5	1	5	0.60060614
6	1	6	0.57782209
7	1	7	0.55328864
8	1	8	0.53204769
9	1	9	0.510795
10	1	10	0.48347476
11	1	11	0.46498302
12	2	1	0.72278696
13	2	2	0.70429355
14	2	3	0.68881446
15	2	4	0.6632933
16	2	5	0.63984376
17	2	6	0.61290258
18	2	7	0.58885658
19	2	8	0.55718547
20	2	9	0.53117424
21	2	10	0.50230479
22	2	11	0.48467904
23	3	1	0.73755068
24	3	2	0.72084671
25	3	3	0.70746696
26	3	4	0.68241501
27	3	5	0.65490609
28	3	6	0.63492829
29	3	7	0.59868175
30	3	8	0.5753929
31	3	9	0.5501774
32	3	10	0.52911264
33	3	11	0.50080639
34	4	1	0.72849929
35	4	2	0.71663398
36	4	3	0.70250601
37	4	4	0.6823265
38	4	5	0.65813988
39	4	6	0.63290328
40	4	7	0.60877812
41	4	8	0.58749074
42	4	9	0.56505865
43	4	10	0.54533315
44	4	11	0.52180004
