Point	Row	Column	_s_Area
1	1	1	0.19308917
2	1	2	0.19836159
3	1	3	0.20484306
4	1	4	0.21476364
5	1	5	0.22378084
6	1	6	0.2336624
7	1	7	0.24366981
8	1	8	0.25404146
9	1	9	0.2637291
10	1	10	0.27573273
11	1	11	0.28767216
12	2	1	0.17337377
13	2	2	0.18094155
14	2	3	0.18841615
15	2	4	0.19718806
16	2	5	0.20726907
17	2	6	0.21949576
18	2	7	0.22992392
19	2	8	0.24445927
20	2	9	0.25559154
21	2	10	0.26764467
22	2	11	0.27960494
23	3	1	0.16708319
24	3	2	0.17630841
25	3	3	0.18337594
26	3	4	0.19198832
27	3	5	0.20236473
28	3	6	0.21347663
29	3	7	0.22560239
30	3	8	0.23500685
31	3	9	0.2478473
32	3	10	0.25890476
33	3	11	0.27434239
34	4	1	0.16991347
35	4	2	0.17674513
36	4	3	0.18413697
37	4	4	0.19265944
38	4	5	0.20228669
39	4	6	0.21320456
40	4	7	0.22230941
41	4	8	0.23350489
42	4	9	0.24133855
43	4	10	0.25446692
44	4	11	0.2690632
