Point	Row	Column	FWHM_111
1	1	1	0.47215009
2	1	2	0.45258093
3	1	3	0.43665832
4	1	4	0.42939171
5	1	5	0.47540021
6	1	6	0.4505097
7	1	7	0.45931092
8	1	8	0.46035472
9	1	9	0.44225949
10	1	10	0.47195619
11	1	11	0.48049167
12	2	1	0.42306343
13	2	2	0.42614269
14	2	3	0.46340844
15	2	4	0.53175813
16	2	5	0.65020972
17	2	6	0.6088478
18	2	7	0.45504874
19	2	8	0.44223088
20	2	9	0.44647056
21	2	10	0.42574024
22	2	11	0.44742575
23	3	1	0.41123828
24	3	2	0.41072813
25	3	3	0.42449155
26	3	4	0.54854071
27	3	5	0.89261556
28	3	6	
29	3	7	
30	3	8	
31	3	9	0.73916638
32	3	10	0.62953651
33	3	11	0.52369565
34	4	1	0.45740032
35	4	2	0.42021137
36	4	3	0.46546769
37	4	4	0.45991617
38	4	5	0.46113941
39	4	6	0.47778097
40	4	7	0.59703636
41	4	8	0.61689156
42	4	9	0.59112102
43	4	10	0.49982435
44	4	11	0.51890779
