Point	Row	Column	Zr_at
1	1	1	0.33219311
2	1	2	0.33021674
3	1	3	0.32102007
4	1	4	0.31279311
5	1	5	0.30030307
6	1	6	0.28891104
7	1	7	0.27664432
8	1	8	0.26602384
9	1	9	0.2553975
10	1	10	0.24173738
11	1	11	0.23249151
12	2	1	0.36139348
13	2	2	0.35214677
14	2	3	0.34440723
15	2	4	0.33164665
16	2	5	0.31992188
17	2	6	0.30645129
18	2	7	0.29442829
19	2	8	0.27859274
20	2	9	0.26558712
21	2	10	0.2511524
22	2	11	0.24233952
23	3	1	0.36877534
24	3	2	0.36042336
25	3	3	0.35373348
26	3	4	0.3412075
27	3	5	0.32745305
28	3	6	0.31746414
29	3	7	0.29934087
30	3	8	0.28769645
31	3	9	0.2750887
32	3	10	0.26455632
33	3	11	0.2504032
34	4	1	0.36424965
35	4	2	0.35831699
36	4	3	0.351253
37	4	4	0.34116325
38	4	5	0.32906994
39	4	6	0.31645164
40	4	7	0.30438906
41	4	8	0.29374537
42	4	9	0.28252932
43	4	10	0.27266657
44	4	11	0.26090002
