Point	Row	Column	MaxInt_110
1	1	1	4524.5259
2	1	2	4846.3716
3	1	3	4940.3042
4	1	4	4990.3813
5	1	5	5097.1187
6	1	6	5149.6699
7	1	7	5140.2705
8	1	8	4882.4194
9	1	9	4662.5698
10	1	10	4382.3198
11	1	11	4233.3291
12	2	1	4707.7041
13	2	2	5032.0557
14	2	3	5862.1235
15	2	4	7777.3921
16	2	5	7622.8779
17	2	6	7879.7109
18	2	7	6770.0815
19	2	8	5692.1978
20	2	9	5126.9824
21	2	10	4642.7822
22	2	11	4572.3599
23	3	1	4706.979
24	3	2	5041.2334
25	3	3	5319
26	3	4	7198.3643
27	3	5	5246.2432
28	3	6	1636.104
29	3	7	892.27319
30	3	8	2036.8729
31	3	9	4458.877
32	3	10	5847.0137
33	3	11	5505.3633
34	4	1	3742.0508
35	4	2	3917.3499
36	4	3	4099.5264
37	4	4	4286.6602
38	4	5	4348.9849
39	4	6	4640.5493
40	4	7	5254.4556
41	4	8	4955.0103
42	4	9	4741.7129
43	4	10	4160.854
44	4	11	3306.2891
