Point	Row	Column	_s_FWHM
1	1	1	0.38079095
2	1	2	0.3662132
3	1	3	0.34812504
4	1	4	0.32528976
5	1	5	0.30768621
6	1	6	0.29051802
7	1	7	0.27058721
8	1	8	0.25858337
9	1	9	0.2489506
10	1	10	0.23538922
11	1	11	0.23569542
12	2	1	0.40961915
13	2	2	0.39251795
14	2	3	0.38135159
15	2	4	0.35796845
16	2	5	0.33870521
17	2	6	0.32658297
18	2	7	0.30491099
19	2	8	0.2873328
20	2	9	0.27381304
21	2	10	0.2554386
22	2	11	0.24843539
23	3	1	0.41050345
24	3	2	0.393244
25	3	3	0.38534859
26	3	4	0.3716006
27	3	5	0.35022876
28	3	6	0.33545601
29	3	7	0.32451147
30	3	8	0.30739981
31	3	9	0.29842576
32	3	10	0.2871922
33	3	11	0.26952761
34	4	1	0.3806124
35	4	2	0.37868297
36	4	3	0.3672078
37	4	4	0.35771304
38	4	5	0.3521494
39	4	6	0.33883941
40	4	7	0.3237232
41	4	8	0.31442258
42	4	9	0.30750719
43	4	10	0.29857156
44	4	11	0.28641483
