Point	Row	Column	Norm_d
1	1	1	0.41294879
2	1	2	0.49979091
3	1	3	0.58669275
4	1	4	0.6643374
5	1	5	0.72113711
6	1	6	0.74896944
7	1	7	0.7394731
8	1	8	0.7048319
9	1	9	0.6359672
10	1	10	0.53861296
11	1	11	0.4537417
12	2	1	0.64671808
13	2	2	0.76658905
14	2	3	0.86884058
15	2	4	0.94122881
16	2	5	0.98871154
17	2	6	1
18	2	7	0.96279025
19	2	8	0.89219362
20	2	9	0.78707492
21	2	10	0.65275031
22	2	11	0.50367314
23	3	1	0.53395426
24	3	2	0.631428
25	3	3	0.72071898
26	3	4	0.77459222
27	3	5	0.80576962
28	3	6	0.79430199
29	3	7	0.75380713
30	3	8	0.67114604
31	3	9	0.56650549
32	3	10	0.44299108
33	3	11	0.30860659
34	4	1	0.17667088
35	4	2	0.24033937
36	4	3	0.29475003
37	4	4	0.3270022
38	4	5	0.33972406
39	4	6	0.32939139
40	4	7	0.29684049
41	4	8	0.23998101
42	4	9	0.17010097
43	4	10	0.091620527
44	4	11	0
